feature,clip_percentile,gs_raw,gs_clipped,clip_threshold,bias_bound,relative_bias_pct,noise_reduction
flag,90.0,10954.441729576973,0.006731601216133616,848.0,137872518.88452289,302572.68745992606,1627315.9056603773
flag,95.0,10954.441729576973,0.011748549292308669,1480.0,68037964.61216293,149314.96115805313,932408.0324324324
flag,99.0,10954.441729576973,0.43294991783953707,54540.0,6440957.16243957,14135.215155428428,25301.868133480013
flag,99.5,10954.441729576973,0.43294991783953707,54540.0,6440957.16243957,14135.215155428428,25301.868133480013
src_bytes,90.0,10398.55684154541,0.026797805879037594,3375.800000000003,131000681.49103062,662318.2347823607,388037.62100835325
src_bytes,95.0,10398.55684154541,0.06599826947044207,8314.0,60300848.40015718,304871.32596333366,157558.02273273998
src_bytes,99.0,10398.55684154541,0.20257515499353035,25519.0,13081129.667119145,66136.0735797296,51331.84689838944
src_bytes,99.5,10398.55684154541,0.2955871496273011,37236.0,6540506.329014948,33067.74100035988,35179.32648512193
dst_bytes,90.0,7.938208981289641e-06,1e-10,1e-10,0.0001984552245123955,99.99999998999999,79382.0898128964
dst_bytes,95.0,7.938208981289641e-06,1e-10,1e-10,0.0001984552245123955,99.99999998999999,79382.0898128964
dst_bytes,99.0,7.938208981289641e-06,1e-10,1e-10,0.0001984552245123955,99.99999998999999,79382.0898128964
dst_bytes,99.5,7.938208981289641e-06,1e-10,1e-10,0.0001984552245123955,99.99999998999999,79382.0898128964
land,90.0,2.3814626943868923e-05,1e-10,1e-10,0.02595794336795186,114.4156752935969,238146.26943868923
land,95.0,2.3814626943868923e-05,1e-10,1e-10,0.02595794336795186,114.4156752935969,238146.26943868923
land,99.0,2.3814626943868923e-05,1e-10,1e-10,0.02595794336795186,114.4156752935969,238146.26943868923
land,99.5,2.3814626943868923e-05,2.3814626943868923e-05,3.0,0.0,0.0,1.0
wrong_fragment,90.0,2.3814626943868923e-05,1e-10,1e-10,0.00021433164248767594,192.8571428507143,238146.26943868923
wrong_fragment,95.0,2.3814626943868923e-05,1e-10,1e-10,0.00021433164248767594,192.8571428507143,238146.26943868923
wrong_fragment,99.0,2.3814626943868923e-05,1e-10,1e-10,0.00021433164248767594,192.8571428507143,238146.26943868923
wrong_fragment,99.5,2.3814626943868923e-05,1e-10,1e-10,0.00021433164248767594,192.8571428507143,238146.26943868923
urgent,90.0,0.0006112420915593024,1e-10,1e-10,1.6326276265527764,798.7067961154676,6112420.915593023
urgent,95.0,0.0006112420915593024,1e-10,1e-10,1.6326276265527764,798.7067961154676,6112420.915593023
urgent,99.0,0.0006112420915593024,2.3814626943868923e-05,3.0,0.7113746596492899,348.0155339805825,25.666666666666668
urgent,99.5,0.0006112420915593024,0.00017464059758837212,22.0,0.2650171068403547,129.6504854368932,3.4999999999999996
hot,90.0,3.9691044906448206e-05,1e-10,1e-10,0.004842307478489835,396.10389609597405,396910.44906448206
hot,95.0,3.9691044906448206e-05,1e-10,1e-10,0.004842307478489835,396.10389609597405,396910.44906448206
hot,99.0,3.9691044906448206e-05,1e-10,1e-10,0.004842307478489835,396.10389609597405,396910.44906448206
hot,99.5,3.9691044906448206e-05,1e-10,1e-10,0.004842307478489835,396.10389609597405,396910.44906448206
num_failed_logins,90.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
num_failed_logins,95.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
num_failed_logins,99.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
num_failed_logins,99.5,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
logged_in,90.0,0.05936986497106523,1e-10,1e-10,76.34964635278885,27340.934675080644,593698649.7106522
logged_in,95.0,0.05936986497106523,1e-10,1e-10,76.34964635278885,27340.934675080644,593698649.7106522
