feature,global_sensitivity,local_sensitivity,smooth_sensitivity_beta0.01,ls_gs_ratio,gs_clipped_p99,clip_noise_reduction,clip_bias_bound,clip_relative_bias_pct
flag,10954.441729576973,10954.080011248438,10954.080011248438,0.9999669797569366,0.43294991783953707,25301.868133480013,6440957.16243957,14135.215155428428
src_bytes,10398.55684154541,10398.399830801669,10398.399830801669,0.9999849007178463,0.20257515499353035,51331.84689838944,13081129.667119145,66136.0735797296
dst_bytes,7.938208981289641e-06,7.936633602243876e-06,7.936633602243876e-06,0.9998015447754678,1e-10,79382.0898128964,0.0001984552245123955,99.99999998999999
land,2.3814626943868923e-05,2.3634529611356992e-05,2.3634529611356992e-05,0.9924375329104915,1e-10,238146.26943868923,0.02595794336795186,114.4156752935969
wrong_fragment,2.3814626943868923e-05,2.3813744731603294e-05,2.3813744731603294e-05,0.999962955024754,1e-10,238146.26943868923,0.00021433164248767594,192.8571428507143
urgent,0.0006112420915593024,0.0006096194511421637,0.0006096194511421637,0.997345339204309,2.3814626943868923e-05,25.666666666666668,0.7113746596492899,348.0155339805825
hot,3.9691044906448206e-05,3.968134057152629e-05,3.968134057152629e-05,0.9997555031633764,1e-10,396910.44906448206,0.004842307478489835,396.10389609597405
num_failed_logins,7.938208981289641e-06,4.796777133709198e-06,7.859222482191961e-06,0.6042644058647488,7.938208981289641e-06,1.0,0.0,0.0
