epsilon,actual_epsilon,mechanism,sigma,accuracy,f1_score,accuracy_std,f1_std,relative_accuracy_loss_pct,privacy_type
inf,inf,dp_sgd,0.0,0.9476579429904984,0.9434030281182408,0.0,0.0,0.0,no_dp
0.1,0.18449935783393512,dp_sgd,99.99999999999991,0.9279879979996667,0.9237655438676065,0.007532671130318362,0.006551193496265939,2.0756376429199586,central_dp
0.5,0.49959933814860713,dp_sgd,7.4412841796875,0.9444907484580763,0.9404336923880704,0.0006237135167151166,0.0005875677086511664,0.334212840809149,central_dp
1.0,0.999765418475854,dp_sgd,3.6304016113281246,0.946991165194199,0.9428965358467757,0.0012474270334302034,0.0012632931300735084,0.07036059806508771,central_dp
2.0,2.0000014136171504,dp_sgd,1.8575790405273436,0.9458798688670335,0.9417959643831487,0.0006984389114839407,0.0006817825332256172,0.18762826150688494,central_dp
