mechanism,nominal_epsilon,n_queries,basic_composition_epsilon,advanced_composition_epsilon,rdp_composition_epsilon,best_rdp_alpha,rdp_vs_basic_tightening,adv_vs_basic_tightening,delta
laplace,0.1,1,0.1,0.4903696830263729,0.27186705500505587,64.0,0.3678268409467279,0.20392777828930717,1e-05
laplace,0.1,2,0.2,0.6996482260566408,0.3609892613597907,64.0,0.5540331012801626,0.2858579391064,1e-05
laplace,0.1,5,0.5,1.1255684721824974,0.628355880423995,64.0,0.7957274143159375,0.4442199762671844,1e-05
laplace,0.1,10,0.9999999999999999,1.6225980474607942,1.073966912197669,64.0,0.9311273826431861,0.6162955770622929,1e-05
laplace,0.1,20,2.0000000000000004,2.356307862440643,1.9354998641966565,32.0,1.033324794796674,0.8487855224182879,1e-05
laplace,0.1,50,4.999999999999998,3.9189248025857926,3.428542309571607,8.0,1.4583457191242137,1.2758601534535412,1e-05
laplace,0.1,100,9.99999999999998,5.850235092944554,5.076287930171763,6.0,1.9699434188047753,1.7093330167295477,1e-05
laplace,0.3,1,0.3,1.5445154159292251,0.47186700733129056,64.0,0.6357723581834883,0.1942356786510359,1e-05
laplace,0.3,2,0.6,2.245757411870135,0.7609891660122601,64.0,0.7884474928127079,0.267170441842316,1e-05
laplace,0.3,5,1.5,3.7437372507980253,1.6283556420551686,64.0,0.9211746876786884,0.4006691440966526,1e-05
laplace,0.3,10,2.9999999999999996,5.6018578108834465,3.0739664354600165,64.0,0.9759377868909789,0.5355366203996673,1e-05
laplace,0.3,20,5.999999999999998,8.537050924324056,5.876317276891331,8.0,1.0210476591512596,0.7028188133333718,1e-05
laplace,0.3,50,15.000000000000014,15.427092750262716,10.975153229098506,4.0,1.3667235150968464,0.9723154091845705,1e-05
laplace,0.3,100,30.00000000000005,24.891341963844337,17.14905101062155,3.0,1.7493679377021532,1.2052383533027766,1e-05
laplace,0.5,1,0.5,2.7236235914441047,0.6718670073312907,64.0,0.7441948995025666,0.183578965012156,1e-05
laplace,0.5,2,1.0,4.0417914829076835,1.1609891660122602,64.0,0.8613344803507321,0.24741503964984243,1e-05
laplace,0.5,5,2.5,6.986718242473689,2.628355642055169,64.0,0.9511650402246156,0.3578217860285232,1e-05
laplace,0.5,10,5.0,10.830742000426373,5.073966435460018,64.0,0.9854223640615566,0.4616488879342861,1e-05
laplace,0.5,20,10.0,17.217042838448016,9.850061273098722,8.0,1.0152221110858235,0.5808198361259014,1e-05
laplace,0.5,50,25.0,33.183382828540985,19.31778434784796,3.0,1.2941442739930498,0.7533891324213495,1e-05
laplace,0.5,100,50.0,56.42869309594681,31.543315082331787,2.0,1.5851219147224722,0.8860740388756483,1e-05
gaussian,0.1,1,0.1,0.4903696830263729,0.19637803364420545,64.0,0.509221923370403,0.20392777828930717,1e-05
gaussian,0.1,2,0.2,0.6996482260566408,0.2100112186380898,64.0,0.9523300769215476,0.2858579391064,1e-05
gaussian,0.1,5,0.5,1.1255684721824974,0.25091077361974284,64.0,1.9927402589645422,0.4442199762671844,1e-05
gaussian,0.1,10,0.9999999999999999,1.6225980474607942,0.31907669858916465,64.0,3.1340427064139065,0.6162955770622929,1e-05
gaussian,0.1,20,2.0000000000000004,2.356307862440643,0.45540854852800816,64.0,4.391661084238515,0.8487855224182879,1e-05
gaussian,0.1,50,4.999999999999998,3.9189248025857926,0.7122143172655029,32.0,7.020358730216417,1.2758601534535412,1e-05
gaussian,0.1,100,9.99999999999998,5.850235092944554,1.0530439421126125,32.0,9.496279879772178,1.7093330167295477,1e-05
gaussian,0.3,1,0.3,1.5445154159292251,0.30544351359528016,64.0,0.9821783296976705,0.1942356786510359,1e-05
gaussian,0.3,2,0.6,2.245757411870135,0.4281421785402392,64.0,1.4014036226136701,0.267170441842316,1e-05
gaussian,0.3,5,1.5,3.7437372507980253,0.6781313547807921,32.0,2.211960838302307,0.4006691440966526,1e-05
gaussian,0.3,10,2.9999999999999996,5.6018578108834465,0.9848780171431898,32.0,3.046062504981096,0.5355366203996673,1e-05
gaussian,0.3,20,5.999999999999998,8.537050924324056,1.3810216890561442,16.0,4.344609536220016,0.7028188133333718,1e-05
gaussian,0.3,50,15.000000000000014,15.427092750262716,2.301261676143339,16.0,6.518163560233777,0.9723154091845705,1e-05
gaussian,0.3,100,30.00000000000005,24.891341963844337,3.1784369496648806,8.0,9.438601575268972,1.2052383533027766,1e-05
gaussian,0.5,1,0.5,2.7236235914441047,0.5235744734974297,64.0,0.9549739823258487,0.183578965012156,1e-05
gaussian,0.5,2,1.0,4.0417914829076835,0.7122143172655031,32.0,1.4040717460432834,0.24741503964984243,1e-05
gaussian,0.5,5,2.5,6.986718242473689,1.1935653953902343,16.0,2.09456474664518,0.3578217860285232,1e-05
gaussian,0.5,10,5.0,10.830742000426373,1.61960242644912,16.0,3.087177395110599,0.4616488879342861,1e-05
gaussian,0.5,20,10.0,17.217042838448016,2.4716764885668914,16.0,4.045836923341907,0.5808198361259014,1e-05
gaussian,0.5,50,25.0,33.183382828540985,3.774888793147319,8.0,6.622711653223621,0.7533891324213495,1e-05
gaussian,0.5,100,50.0,56.42869309594681,5.497862825935686,6.0,9.094442983213293,0.8860740388756483,1e-05
