feature,mechanism,epsilon,global_sensitivity,local_sensitivity,post_mean_error,post_std_error,agg_mean_error,agg_std_error,shuffle_mean_error,shuffle_std_error,noise_variance
flag,laplace,0.1,10954.441729576973,10954.080011248438,113367.13396568541,106830.7133131542,97029.9669521744,92373.68319536309,40727.26714964412,2164.181693389248,23999958721.339462
flag,laplace,0.3,10954.441729576973,10954.080011248438,32043.528969381197,24782.083119297014,29986.112815666464,29066.246884591674,40558.20456188122,797.5738972510416,2666662080.14883
flag,laplace,0.5,10954.441729576973,10954.080011248438,18995.732045998797,20676.23985805422,24187.098373664998,25448.67583716526,40289.45099862634,360.4436724580998,959998348.8535787
flag,laplace,1.0,10954.441729576973,10954.080011248438,9860.393572723327,9679.732926656487,10970.20714860393,9192.31117732958,40471.903290946975,204.7015152596858,239999587.21339467
flag,laplace,2.0,10954.441729576973,10954.080011248438,6277.774671919733,4960.051531157584,6561.513433321595,6563.1885320459005,40417.786207040815,82.28215551643612,59999896.80334867
flag,laplace,5.0,10954.441729576973,10954.080011248438,2046.276973496556,1710.0495572435304,2707.593813764529,2395.113226408182,40440.662650234386,50.75947581234483,9599983.488535786
flag,gaussian,0.1,10954.441729576973,10954.080011248438,411057.5933632742,296722.3166116625,520482.766553928,427400.87762210023,39869.566850892064,9218.992651472417,281665171941.6175
flag,gaussian,0.3,10954.441729576973,10954.080011248438,133346.42745588705,97680.43298179936,128201.02541393362,87839.9874795399,39981.1979087549,2590.5846802845376,31296130215.735287
flag,gaussian,0.5,10954.441729576973,10954.080011248438,64839.42518427519,42215.459693891455,79573.59791249574,48903.707118148704,40397.04906020716,1482.9583808880127,11266606877.664703
flag,gaussian,1.0,10954.441729576973,10954.080011248438,31230.642235688436,21554.548444728935,32803.891777503675,25624.769623016386,40430.680623497225,871.8029243867835,2816651719.416176
flag,gaussian,2.0,10954.441729576973,10954.080011248438,19909.003870820834,17590.508133711806,23443.7808017259,13842.887186787135,40608.698632601336,456.3836802026785,704162929.854044
flag,gaussian,5.0,10954.441729576973,10954.080011248438,7988.797621761502,5931.2831213949785,8285.03659959439,4564.030580365176,40377.22564669804,139.22667317832196,112666068.77664702
src_bytes,laplace,0.1,10398.55684154541,10398.399830801669,105471.88733398433,102072.40825307518,103488.73074722833,91170.67315109096,17902.488925965674,2221.506051898932,21625996877.370174
src_bytes,laplace,0.3,10398.55684154541,10398.399830801669,42704.818540884415,41843.43460255488,35207.99429990644,42677.89723747908,17707.26131016239,848.8652642192515,2402888541.93002
src_bytes,laplace,0.5,10398.55684154541,10398.399830801669,29206.251962687296,35684.895862900594,23211.50833593547,23040.369514638205,17838.07472651937,393.93212099036066,865039875.0948069
src_bytes,laplace,1.0,10398.55684154541,10398.399830801669,12319.688395283598,9882.422087146573,13383.712236700156,11718.434705437036,17789.722057685238,220.97040413287712,216259968.77370173
src_bytes,laplace,2.0,10398.55684154541,10398.399830801669,5050.914569469291,5299.477886358921,7201.090048939276,7801.854686421917,17807.091087436016,103.59706300276333,54064992.19342543
src_bytes,laplace,5.0,10398.55684154541,10398.399830801669,2348.9611316754876,2187.864184514715,2415.7432145785306,2413.4510393808728,17816.699658303707,31.17606598117369,8650398.750948068
src_bytes,gaussian,0.1,10398.55684154541,10398.399830801669,406634.6536862472,332350.60933442373,288108.2588908519,269692.9293026354,19415.132624782524,6603.235171723818,253804191898.76804
src_bytes,gaussian,0.3,10398.55684154541,10398.399830801669,142529.9434710062,95007.56381363742,115111.5073971854,92507.66282867685,18186.741139134687,2127.733909277453,28200465766.52979
src_bytes,gaussian,0.5,10398.55684154541,10398.399830801669,73911.61367908392,49902.32086298855,75565.44884176187,60494.36503116464,17716.10398787161,1259.3498840828152,10152167675.950722
src_bytes,gaussian,1.0,10398.55684154541,10398.399830801669,42353.60903966046,25517.56752336271,41692.91870843396,32693.493860517265,17752.293174396873,646.3013082473011,2538041918.9876804
src_bytes,gaussian,2.0,10398.55684154541,10398.399830801669,19442.2000931334,13669.633722432354,23989.275890568486,15631.075563820536,17860.35044533567,398.721551263312,634510479.7469201
src_bytes,gaussian,5.0,10398.55684154541,10398.399830801669,7471.808471609497,5293.14696658675,7295.454416199345,5744.112468243842,17781.791771229844,142.76957599443637,101521676.75950721
dst_bytes,laplace,0.1,7.938208981289641e-06,7.936633602243876e-06,7.265195091758947e-05,6.4753163723713e-05,6.832960178123854e-05,7.760054335778096e-05,0.0001983695734501136,2.149568969926801e-06,1.2603032366125504e-08
dst_bytes,laplace,0.3,7.938208981289641e-06,7.936633602243876e-06,3.5671616318910544e-05,3.08568312938632e-05,2.214546994754784e-05,2.763785799033662e-05,0.00019841584338233306,4.602139468974761e-07,1.4003369295695006e-09
